patient_id,source,arm,model,held_out,split,postprocessed,image_size,seed,pred_empty,dice,iou,hd95,assd
jsrt/JPCNN093,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9772696063197,0.9555495880033356,5.830951894845301,1.7565124115135902
jsrt/JPCNN093,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9772696063197,0.9555495880033356,5.830951894845301,1.7565124115135902
jsrt/JPCLN132,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9799797539891196,0.9607453948307868,5.0,1.5758733018857165
jsrt/JPCLN132,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9799797539891196,0.9607453948307868,5.0,1.5758733018857165
jsrt/JPCLN071,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9849187412776302,0.970285612914671,3.0,1.0912272324499548
jsrt/JPCLN071,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9849187412776302,0.970285612914671,3.0,1.0912272324499548
jsrt/JPCLN008,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9828004132335525,0.9661824739407872,5.0,1.5372484592243916
jsrt/JPCLN008,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9828004132335525,0.9661824739407872,5.0,1.5372484592243916
jsrt/JPCLN129,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9807443309070548,0.9622162138963993,5.0990195135927845,1.8457411967434332
jsrt/JPCLN129,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9807443309070548,0.9622162138963993,5.0990195135927845,1.8457411967434332
jsrt/JPCNN060,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9767172242341664,0.9544939554984524,7.0,1.9067314006577774
jsrt/JPCNN060,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9767172242341664,0.9544939554984524,7.0,1.9067314006577774
jsrt/JPCLN131,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9687937293890851,0.9394761814386031,7.0,3.025469402624853
jsrt/JPCLN131,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.970037233000196,0.9418177667002797,6.0,1.9157056335062408
jsrt/JPCNN008,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9829247614839934,0.9664228606313912,3.605551275463989,1.34349948783906
jsrt/JPCNN008,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9829247614839934,0.9664228606313912,3.605551275463989,1.34349948783906
jsrt/JPCLN102,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.980688541939484,0.9621088178538468,5.0,1.6892059364741665
jsrt/JPCLN102,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.980688541939484,0.9621088178538468,5.0,1.6892059364741665
jsrt/JPCLN025,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9774245565537895,0.9558459112412706,7.0,1.673902494382543
jsrt/JPCLN025,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9774245565537895,0.9558459112412706,7.0,1.673902494382543
jsrt/JPCLN090,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9813037650479205,0.9632937978749692,4.236663934044182,1.5743967698765542
jsrt/JPCLN090,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9813037650479205,0.9632937978749692,4.236663934044182,1.5743967698765542
jsrt/JPCNN053,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9763531893011782,0.953798887562247,5.0,1.7526803620289326
jsrt/JPCNN053,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9763531893011782,0.953798887562247,5.0,1.7526803620289326
jsrt/JPCLN108,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9770761710356682,0.9551797928345434,6.0,1.8350612801870054
jsrt/JPCLN108,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9770761710356682,0.9551797928345434,6.0,1.8350612801870054
jsrt/JPCLN052,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9743127224658685,0.9499120675535985,8.06225774829855,1.9208696872312923
jsrt/JPCLN052,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9743127224658685,0.9499120675535985,8.06225774829855,1.9208696872312923
jsrt/JPCNN025,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9796224076035022,0.9600587222840944,6.324555320336759,1.9715524549615653
jsrt/JPCNN025,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9796224076035022,0.9600587222840944,6.324555320336759,1.9715524549615653
jsrt/JPCLN136,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9818556941174513,0.9643580860243169,3.1622776601683795,1.2485655581004893
jsrt/JPCLN136,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9818556941174513,0.9643580860243169,3.1622776601683795,1.2485655581004893
jsrt/JPCLN038,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.975792745479322,0.9527297733660228,5.0,1.6483630875505095
jsrt/JPCLN038,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.975792745479322,0.9527297733660228,5.0,1.6483630875505095
jsrt/JPCLN099,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9787986144535534,0.9584775621213995,4.0,1.5139811745781704
jsrt/JPCLN099,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9787986144535534,0.9584775621213995,4.0,1.5139811745781704
jsrt/JPCNN035,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9698359799474273,0.9414384127858915,20.8806130178211,2.7490085433590643
jsrt/JPCNN035,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9707398294056474,0.9431432956791554,14.0,2.470395083364104
jsrt/JPCLN109,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9730696856587593,0.9475518173625713,7.615773105863909,2.1309494567376337
jsrt/JPCLN109,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9730696856587593,0.9475518173625713,7.615773105863909,2.1309494567376337
jsrt/JPCLN122,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9856110337510775,0.9716302784677736,3.1622776601683795,1.1520539364238425
jsrt/JPCLN122,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9856110337510775,0.9716302784677736,3.1622776601683795,1.1520539364238425
jsrt/JPCLN027,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9818368066264264,0.9643216460940965,4.123105625617661,1.5450992517107078
jsrt/JPCLN027,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9818368066264264,0.9643216460940965,4.123105625617661,1.5450992517107078
jsrt/JPCLN021,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9830072152862547,0.9665822905154076,4.123105625617661,1.3736686872780066
jsrt/JPCLN021,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9830072152862547,0.9665822905154076,4.123105625617661,1.3736686872780066
jsrt/JPCNN033,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9810520268254688,0.9628087524125518,4.242640687119285,1.582213329417345
jsrt/JPCNN033,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9810520268254688,0.9628087524125518,4.242640687119285,1.582213329417345
jsrt/JPCNN091,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9799868327383087,0.9607590021304955,5.743903072168841,1.727204802561083
jsrt/JPCNN091,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9799868327383087,0.9607590021304955,5.743903072168841,1.727204802561083
jsrt/JPCLN076,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.975580146045659,0.952324520341775,8.94427190999916,1.8917841801197277
jsrt/JPCLN076,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.975580146045659,0.952324520341775,8.94427190999916,1.8917841801197277
jsrt/JPCLN128,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9829908424332064,0.9665506304633712,3.605551275463989,1.2169882388392612
jsrt/JPCLN128,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9829908424332064,0.9665506304633712,3.605551275463989,1.2169882388392612
jsrt/JPCLN034,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.982050541052564,0.9647340861775282,4.0,1.3506367578773821
jsrt/JPCLN034,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.982050541052564,0.9647340861775282,4.0,1.3506367578773821
jsrt/JPCLN009,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9790070809971307,0.9588774444716589,5.0,1.633920406037876
jsrt/JPCLN009,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9790070809971307,0.9588774444716589,5.0,1.633920406037876
jsrt/JPCLN145,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9840614665439988,0.9686230358803661,7.259407687774743,1.4430084624387263
jsrt/JPCLN145,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9840614665439988,0.9686230358803661,7.259407687774743,1.4430084624387263
jsrt/JPCLN148,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9820542415383083,0.9647412284740768,5.0,1.5082002328749038
jsrt/JPCLN148,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9820542415383083,0.9647412284740768,5.0,1.5082002328749038
jsrt/JPCLN026,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9846649775917348,0.9697931774836404,4.0,1.2531709676597103
jsrt/JPCLN026,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9846649775917348,0.9697931774836404,4.0,1.2531709676597103
jsrt/JPCLN105,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9828922821806122,0.9663600668451015,4.0,1.2830076187268442
jsrt/JPCLN105,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9828922821806122,0.9663600668451015,4.0,1.2830076187268442
jsrt/JPCLN030,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.973491007284422,0.9483511729489094,9.055385138137417,2.074483311374408
jsrt/JPCLN030,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.973491007284422,0.9483511729489094,9.055385138137417,2.074483311374408
jsrt/JPCNN056,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.9823052213208472,0.9652257650331693,4.123105625617661,1.5336917645525983
jsrt/JPCNN056,jsrt,unet,unet,montgomery,id_test,True,512,42,False,0.9823052213208472,0.9652257650331693,4.123105625617661,1.5336917645525983
jsrt/JPCLN010,jsrt,unet,unet,montgomery,id_test,False,512,42,False,0.963869610935857,0.9302589916375741,23.135780484735655,3.2623276091178797
