patient_id,source,arm,model,held_out,split,postprocessed,image_size,seed,pred_empty,dice,iou,hd95,assd
jsrt/JPCNN093,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9714908038317964,0.9445620976955443,7.0710678118654755,2.209617661648584
jsrt/JPCNN093,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9714908038317964,0.9445620976955443,7.0710678118654755,2.209617661648584
jsrt/JPCLN132,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9772712490333957,0.9555527290200402,6.324555320336759,1.8040063527047123
jsrt/JPCLN132,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9772712490333957,0.9555527290200402,6.324555320336759,1.8040063527047123
jsrt/JPCLN071,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9852032967441308,0.970838093564168,3.0,1.0481249247531323
jsrt/JPCLN071,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9852032967441308,0.970838093564168,3.0,1.0481249247531323
jsrt/JPCLN008,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9819636872905517,0.9645664649005581,5.830951894845301,1.6452249953040758
jsrt/JPCLN008,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9819636872905517,0.9645664649005581,5.830951894845301,1.6452249953040758
jsrt/JPCLN129,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9837144310047331,0.9679508014437963,5.0,1.570070578672628
jsrt/JPCLN129,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9837144310047331,0.9679508014437963,5.0,1.570070578672628
jsrt/JPCNN060,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9713316490528888,0.9442612365380624,8.06225774829855,2.360367159859326
jsrt/JPCNN060,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9713316490528888,0.9442612365380624,8.06225774829855,2.360367159859326
jsrt/JPCLN131,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9700225196681518,0.9417900276379055,6.324555320336759,1.923619001501808
jsrt/JPCLN131,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9700225196681518,0.9417900276379055,6.324555320336759,1.923619001501808
jsrt/JPCNN008,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9799188220306343,0.9606282746842943,4.47213595499958,1.6029058860919714
jsrt/JPCNN008,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9799188220306343,0.9606282746842943,4.47213595499958,1.6029058860919714
jsrt/JPCLN102,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9840959034580369,0.9686897678706109,4.123105625617661,1.3931722098481247
jsrt/JPCLN102,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9840959034580369,0.9686897678706109,4.123105625617661,1.3931722098481247
jsrt/JPCLN025,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9795977405258911,0.960011340067742,4.47213595499958,1.462240624798354
jsrt/JPCLN025,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9795977405258911,0.960011340067742,4.47213595499958,1.462240624798354
jsrt/JPCLN090,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9784918049158022,0.9578893342457718,6.324555320336759,1.8561449220012032
jsrt/JPCLN090,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9784918049158022,0.9578893342457718,6.324555320336759,1.8561449220012032
jsrt/JPCNN053,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9676037995452906,0.9372407600096926,8.0,2.463834491254652
jsrt/JPCNN053,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9676037995452906,0.9372407600096926,8.0,2.463834491254652
jsrt/JPCLN108,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9731751543984316,0.9477518571614753,7.615773105863909,2.0268758754939533
jsrt/JPCLN108,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9736181493208732,0.9485925230231406,9.104632933884051,2.0897974886685224
jsrt/JPCLN052,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9743228454172367,0.9499313122690959,8.983281572999738,1.9940377954630686
jsrt/JPCLN052,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9743228454172367,0.9499313122690959,8.983281572999738,1.9940377954630686
jsrt/JPCNN025,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9793132513401416,0.9594650392257571,6.0,2.0248529026590822
jsrt/JPCNN025,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9793132513401416,0.9594650392257571,6.0,2.0248529026590822
jsrt/JPCLN136,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9835638271379477,0.9676592130408507,3.605551275463989,1.1521319386974
jsrt/JPCLN136,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9835638271379477,0.9676592130408507,3.605551275463989,1.1521319386974
jsrt/JPCLN038,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9762985605766819,0.9536946251894108,5.0,1.631945487202797
jsrt/JPCLN038,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9762985605766819,0.9536946251894108,5.0,1.631945487202797
jsrt/JPCLN099,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9782842264588938,0.9574915566472214,4.47213595499958,1.555821777129545
jsrt/JPCLN099,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9782842264588938,0.9574915566472214,4.47213595499958,1.555821777129545
jsrt/JPCNN035,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9604457383796807,0.9239014968614196,18.83211164788743,3.3163298157624856
jsrt/JPCNN035,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9604457383796807,0.9239014968614196,18.83211164788743,3.3163298157624856
jsrt/JPCLN109,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9739107013871035,0.9491480933517873,6.708203932499369,2.060231364837945
jsrt/JPCLN109,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9739107013871035,0.9491480933517873,6.708203932499369,2.060231364837945
jsrt/JPCLN122,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9832833055624064,0.9671163175955508,5.0,1.3715871817070537
jsrt/JPCLN122,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9832833055624064,0.9671163175955508,5.0,1.3715871817070537
jsrt/JPCLN027,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9832280192023068,0.9670093568382266,4.0,1.4346284040823905
jsrt/JPCLN027,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9832280192023068,0.9670093568382266,4.0,1.4346284040823905
jsrt/JPCLN021,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9829509021939102,0.9664734026255627,4.0,1.3875521930881243
jsrt/JPCLN021,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9829509021939102,0.9664734026255627,4.0,1.3875521930881243
jsrt/JPCNN033,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9792196241414712,0.9592853147454928,5.0,1.752574224774106
jsrt/JPCNN033,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9792196241414712,0.9592853147454928,5.0,1.752574224774106
jsrt/JPCNN091,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9757123937283718,0.9525765886008634,7.211102550927978,2.112486436125772
jsrt/JPCNN091,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9757123937283718,0.9525765886008634,7.211102550927978,2.112486436125772
jsrt/JPCLN076,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9697579057667731,0.9412912859948028,9.433981132056603,2.3483777783725626
jsrt/JPCLN076,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9697579057667731,0.9412912859948028,9.433981132056603,2.3483777783725626
jsrt/JPCLN128,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9763082366817377,0.9537130918364212,6.0,1.697609007124297
jsrt/JPCLN128,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9763082366817377,0.9537130918364212,6.0,1.697609007124297
jsrt/JPCLN034,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9811682828851419,0.9630327230719004,4.0,1.449504063498005
jsrt/JPCLN034,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9811682828851419,0.9630327230719004,4.0,1.449504063498005
jsrt/JPCLN009,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9706842933912795,0.943038454731626,10.0,2.2953909930299763
jsrt/JPCLN009,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9706842933912795,0.943038454731626,10.0,2.2953909930299763
jsrt/JPCLN145,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9781445083132456,0.9572239091250015,8.845584412271478,1.9634823702666677
jsrt/JPCLN145,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9781445083132456,0.9572239091250015,8.845584412271478,1.9634823702666677
jsrt/JPCLN148,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9775609642374224,0.9561068484717202,6.082762530298219,1.9565050909731914
jsrt/JPCLN148,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.9775609642374224,0.9561068484717202,6.082762530298219,1.9565050909731914
jsrt/JPCLN026,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.983087487283825,0.9667375265724647,4.0,1.389452505723614
jsrt/JPCLN026,jsrt,unet,unet,shenzhen,id_test,True,512,42,False,0.983087487283825,0.9667375265724647,4.0,1.389452505723614
jsrt/JPCLN105,jsrt,unet,unet,shenzhen,id_test,False,512,42,False,0.9834835660107728,0.9675038524966882,4.0,1.2567117782114112
